epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,40.9595,2.11063,3.98719,0.71586,2.61985,2.40927,0.09333,0.16279,0.11004,0.02716,0.41333,0.72093,0.55484,0.3415,3.24581,6.35281,0.69421,3.11924,3.46922,5.6436e-05,5.6436e-05,5.6436e-05
5,50.6103,1.67057,4.75015,0.70487,1.99996,2.09402,0.17526,0.39535,0.34737,0.11686,0.36082,0.81395,0.64725,0.37682,2.45136,5.82827,0.69435,2.34096,2.92159,7.3664e-05,7.3664e-05,7.3664e-05
6,59.8645,1.50029,5.34916,0.70701,1.28821,1.95058,1,0.26507,0.45483,0.20945,0.7275,0.55814,0.67256,0.34704,1.6353,5.38122,0.69408,1.45829,2.35792,9.01e-05,9.01e-05,9.01e-05
7,68.3025,1.33834,2.0467,0.71073,1.25766,1.91802,0.87955,0.33997,0.47071,0.2636,1,0.38877,0.69623,0.35838,1.26676,4.96152,0.69489,0.87847,2.0764,0.000105744,0.000105744,0.000105744
8,74.5766,1.17599,2.30148,0.7152,1.10591,1.61706,0.90256,0.32558,0.41578,0.25021,0.89782,0.32558,0.61446,0.31859,1.27507,4.53333,0.696,0.80642,2.06241,0.000120596,0.000120596,0.000120596
9,80.5003,1.2273,3.36015,0.70834,1.02323,1.76029,0.99192,0.23256,0.27628,0.2164,1,0.28432,0.59516,0.3217,1.24167,4.52537,0.69619,0.90964,2.02241,0.000134656,0.000134656,0.000134656
10,86.2365,1.12535,3.79932,0.70318,1.07386,1.58001,0.90917,0.23281,0.2579,0.20567,0.98994,0.32558,0.63747,0.37714,1.09174,4.52112,0.69663,1.05948,1.88355,0.000147924,0.000147924,0.000147924
11,91.891,0.97026,3.56214,0.69991,0.90447,1.50658,0.99392,0.23256,0.23751,0.19455,0.84932,0.30233,0.60404,0.36987,1.02115,4.47082,0.69723,1.10984,1.75604,0.0001604,0.0001604,0.0001604
12,97.429,0.67319,2.78595,0.7119,0.7297,1.31595,0.99432,0.23256,0.23695,0.18206,0.79459,0.27026,0.54769,0.34045,0.93816,4.49464,0.69819,1.0679,1.65473,0.000172084,0.000172084,0.000172084
13,103.016,0.68975,3.51828,0.7043,0.71299,1.34184,0.99444,0.23256,0.23701,0.17915,0.86655,0.30204,0.55307,0.316,0.92152,4.50797,0.69857,1.003,1.51904,0.000182976,0.000182976,0.000182976
14,109.216,0.55169,3.92324,0.69692,0.52877,1.29993,0.99424,0.23256,0.23708,0.18028,0.99424,0.23256,0.44217,0.24092,0.96012,4.52562,0.69837,0.91255,1.40878,0.000193076,0.000193076,0.000193076
15,115.22,0.48692,3.81523,0.71369,0.44789,1.13369,0.99488,0.23256,0.23786,0.18173,1,0.25476,0.36672,0.17591,0.99778,4.66924,0.69751,0.87051,1.39237,0.000202384,0.000202384,0.000202384
16,121.195,0.73394,3.26345,0.70133,0.6044,1.34761,0.99506,0.23256,0.23863,0.19017,1,0.25469,0.3239,0.1535,0.80097,4.79488,0.69532,0.88024,1.21618,0.0002109,0.0002109,0.0002109
17,127.057,0.49666,3.83115,0.70179,0.48741,1.16591,0.995,0.23256,0.23934,0.20647,0.995,0.23256,0.25934,0.13025,0.65083,4.93086,0.69259,0.84108,1.06904,0.000218624,0.000218624,0.000218624
18,135.138,0.45909,2.32161,0.69476,0.38517,1.13481,0.995,0.23256,0.23934,0.20647,0.995,0.23256,0.25934,0.13025,0.65083,4.93086,0.69259,0.84108,1.06904,0.000225556,0.000225556,0.000225556
19,141.13,0.43054,4.12071,0.71991,0.41306,1.07112,0.99514,0.23256,0.24008,0.22017,0.99514,0.23256,0.24322,0.12715,0.53359,4.90659,0.69,0.74576,0.80734,0.000231696,0.000231696,0.000231696
20,147.145,0.38262,4.17467,0.70345,0.39196,1.10802,0.99514,0.23256,0.24008,0.22017,0.99514,0.23256,0.24322,0.12715,0.53359,4.90659,0.69,0.74576,0.80734,0.000237044,0.000237044,0.000237044
21,153.146,0.45298,3.11048,0.70414,0.42552,1.13226,0.99507,0.23256,0.24077,0.23169,0.99507,0.23256,0.24156,0.11139,0.37099,4.93879,0.68684,0.74171,0.55958,0.0002416,0.0002416,0.0002416
22,159.088,0.37962,2.79852,0.7096,0.33821,1.10556,0.99507,0.23256,0.24077,0.23169,0.99507,0.23256,0.24156,0.11139,0.37099,4.93879,0.68684,0.74171,0.55958,0.000245364,0.000245364,0.000245364
23,164.933,0.46645,2.06626,0.70611,0.4425,1.15833,0.99504,0.23256,0.24236,0.23536,0.99504,0.23256,0.24737,0.11834,0.30836,4.8939,0.68363,0.71788,0.50105,0.000248336,0.000248336,0.000248336
24,171.283,0.39454,3.41086,0.69541,0.37496,1.09061,0.99504,0.23256,0.24236,0.23536,0.99504,0.23256,0.24737,0.11834,0.30836,4.8939,0.68363,0.71788,0.50105,0.000250516,0.000250516,0.000250516
25,177.312,0.37793,3.5853,0.70928,0.39969,1.0691,0.99503,0.23256,0.24391,0.2348,0.89553,0.2093,0.20777,0.10966,0.32311,4.87196,0.68122,1.00412,0.50431,0.000251904,0.000251904,0.000251904
26,183.131,0.57074,2.54632,0.69453,0.57878,1.20223,0.99503,0.23256,0.24391,0.2348,0.89553,0.2093,0.20777,0.10966,0.32311,4.87196,0.68122,1.00412,0.50431,0.0002525,0.0002525,0.0002525
27,188.698,0.34232,3.35476,0.69505,0.34587,1.08237,0.99516,0.23256,0.24511,0.23951,0.89564,0.2093,0.20285,0.1048,0.37834,4.73114,0.68053,1.04898,0.55109,0.000252304,0.000252304,0.000252304
28,194.139,0.5421,3.02825,0.68918,0.50908,1.1659,0.99516,0.23256,0.24511,0.23951,0.89564,0.2093,0.20285,0.1048,0.37834,4.73114,0.68053,1.04898,0.55109,0.000251316,0.000251316,0.000251316
29,200.185,0.34543,2.73637,0.71674,0.43371,1.07049,0.99519,0.23256,0.245,0.24074,0.89567,0.2093,0.20663,0.10612,0.38654,4.65083,0.68365,0.73512,0.57777,0.000249536,0.000249536,0.000249536
30,206.285,0.31778,2.783,0.70187,0.35857,1.04467,0.99519,0.23256,0.245,0.24074,0.89567,0.2093,0.20663,0.10612,0.38654,4.65083,0.68365,0.73512,0.57777,0.000246964,0.000246964,0.000246964
31,212.12,0.3965,3.83184,0.69475,0.43891,1.10776,1,0.25463,0.26986,0.24573,0.89565,0.2093,0.21198,0.11732,0.39567,4.77602,0.68733,0.58349,0.60513,0.0002436,0.0002436,0.0002436
32,217.644,0.24556,3.01638,0.73195,0.35375,1.00743,1,0.25463,0.26986,0.24573,0.89565,0.2093,0.21198,0.11732,0.39567,4.77602,0.68733,0.58349,0.60513,0.000239444,0.000239444,0.000239444
33,223.366,0.34148,2.33399,0.69445,0.41272,1.03361,0.99523,0.23256,0.24873,0.23982,0.99523,0.23256,0.2516,0.14034,0.4157,4.83036,0.68684,0.48847,0.66954,0.000234496,0.000234496,0.000234496
34,229.428,0.24721,2.2964,0.70549,0.32358,1.0004,0.99523,0.23256,0.24873,0.23982,0.99523,0.23256,0.2516,0.14034,0.4157,4.83036,0.68684,0.48847,0.66954,0.000228756,0.000228756,0.000228756
35,235.749,0.4438,2.3048,0.72282,0.45862,1.14008,0.99527,0.23256,0.25206,0.2464,0.99527,0.23256,0.25771,0.13886,0.40886,5.0437,0.67884,0.42757,0.67497,0.000222224,0.000222224,0.000222224
36,241.586,0.24982,2.57262,0.72436,0.29736,0.95134,0.99527,0.23256,0.25206,0.2464,0.99527,0.23256,0.25771,0.13886,0.40886,5.0437,0.67884,0.42757,0.67497,0.0002149,0.0002149,0.0002149
37,247.416,0.2852,4.67393,0.72637,0.36091,1.06461,0.99529,0.23256,0.2529,0.2529,0.99529,0.23256,0.26111,0.13291,0.4004,4.9817,0.67454,0.48102,0.66899,0.000206784,0.000206784,0.000206784
38,253.821,0.27569,3.43082,0.72535,0.31437,0.94813,0.99529,0.23256,0.2529,0.2529,0.99529,0.23256,0.26111,0.13291,0.4004,4.9817,0.67454,0.48102,0.66899,0.000197876,0.000197876,0.000197876
39,260.392,0.40336,2.33881,0.71357,0.3824,1.09308,0.99535,0.23256,0.25783,0.25783,0.99535,0.23256,0.2661,0.1355,0.35924,4.76766,0.66879,0.56989,0.60727,0.000188176,0.000188176,0.000188176
40,266.602,0.34474,4.34728,0.69787,0.32905,1.06086,0.99535,0.23256,0.25783,0.25783,0.99535,0.23256,0.2661,0.1355,0.35924,4.76766,0.66879,0.56989,0.60727,0.000177684,0.000177684,0.000177684
41,273.3,0.68255,4.06892,0.66544,0.85329,1.44722,0.99535,0.23256,0.26677,0.26677,0.99535,0.23256,0.27237,0.12606,0.30994,4.48375,0.66563,0.56659,0.52803,0.0001664,0.0001664,0.0001664
42,279.69,0.48294,4.13266,0.67427,0.81729,1.25482,0.99535,0.23256,0.26677,0.26677,0.99535,0.23256,0.27237,0.12606,0.30994,4.48375,0.66563,0.56659,0.52803,0.000154324,0.000154324,0.000154324
43,286.083,0.59862,3.70581,0.68793,1.16043,1.37236,0.99542,0.23256,0.2887,0.2887,0.99542,0.23256,0.2887,0.1288,0.27333,4.06656,0.663,0.53518,0.46275,0.000141456,0.000141456,0.000141456
44,292.367,0.7265,3.92666,0.66774,0.59826,1.64062,0.99542,0.23256,0.2887,0.2887,0.99542,0.23256,0.2887,0.1288,0.27333,4.06656,0.663,0.53518,0.46275,0.000127796,0.000127796,0.000127796
45,298.359,0.34609,3.2884,0.67828,0.57233,1.10363,0.9954,0.23256,0.30832,0.30832,0.9954,0.23256,0.31967,0.1382,0.23989,3.70312,0.66066,0.48352,0.40642,0.000113344,0.000113344,0.000113344
46,304.052,0.34087,3.03069,0.67547,0.51458,1.04724,0.9954,0.23256,0.30832,0.30832,0.9954,0.23256,0.31967,0.1382,0.23989,3.70312,0.66066,0.48352,0.40642,9.81e-05,9.81e-05,9.81e-05
47,309.774,0.30477,3.02607,0.69889,0.38679,1.07377,0.99539,0.23256,0.32165,0.32165,0.99539,0.23256,0.33489,0.14959,0.22985,3.46778,0.65869,0.46759,0.39546,8.2064e-05,8.2064e-05,8.2064e-05
48,315.526,0.2908,3.33382,0.67075,0.38699,1.04003,0.99539,0.23256,0.32165,0.32165,0.99539,0.23256,0.33489,0.14959,0.22985,3.46778,0.65869,0.46759,0.39546,6.5236e-05,6.5236e-05,6.5236e-05
49,321.208,0.30796,3.44932,0.67205,0.4096,1.12531,0.9954,0.23256,0.34714,0.34714,0.9954,0.23256,0.34714,0.16271,0.22587,3.39215,0.65761,0.45863,0.39452,4.7616e-05,4.7616e-05,4.7616e-05
50,326.912,0.30437,3.65781,0.67375,0.35937,1.13004,0.9954,0.23256,0.34714,0.34714,0.9954,0.23256,0.34714,0.16271,0.22587,3.39215,0.65761,0.45863,0.39452,2.9204e-05,2.9204e-05,2.9204e-05
